afrikaans-afribooms-ud-2.10-220711 raw_text Tokens:99.78 Sentences:98.59 Words:99.78 UPOS:98.58 XPOS:95.46 UFeats:98.13 AllTags:95.33 Lemmas:97.43 UAS:90.10 LAS:87.23 CLAS:82.16 MLAS:78.64 BLEX:78.59
afrikaans-afribooms-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:98.77 XPOS:95.62 UFeats:98.31 AllTags:95.50 Lemmas:97.53 UAS:90.72 LAS:87.80 CLAS:82.75 MLAS:79.23 BLEX:78.99
ancient_greek-perseus-ud-2.10-220711 raw_text Tokens:99.97 Sentences:98.85 Words:99.97 UPOS:92.83 XPOS:85.55 UFeats:91.45 AllTags:84.87 Lemmas:86.68 UAS:80.13 LAS:74.36 CLAS:68.58 MLAS:54.62 BLEX:55.72
ancient_greek-perseus-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:92.88 XPOS:85.60 UFeats:91.47 AllTags:84.90 Lemmas:86.70 UAS:80.32 LAS:74.53 CLAS:68.75 MLAS:54.73 BLEX:55.87
ancient_greek-proiel-ud-2.10-220711 raw_text Tokens:100.00 Sentences:48.02 Words:100.00 UPOS:97.77 XPOS:98.05 UFeats:92.35 AllTags:91.05 Lemmas:94.71 UAS:79.82 LAS:76.06 CLAS:70.68 MLAS:60.08 BLEX:65.75
ancient_greek-proiel-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.87 XPOS:98.14 UFeats:92.49 AllTags:91.26 Lemmas:94.73 UAS:86.05 LAS:82.14 CLAS:77.52 MLAS:67.03 BLEX:71.90
ancient_hebrew-ptnk-ud-2.10-220711 raw_text Tokens:100.00 Sentences:98.06 Words:68.76 UPOS:56.80 XPOS:56.94 UFeats:55.13 AllTags:50.80 Lemmas:49.88 UAS:38.73 LAS:34.67 CLAS:24.33 MLAS:18.47 BLEX:17.69
ancient_hebrew-ptnk-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:68.03 XPOS:67.97 UFeats:66.97 AllTags:56.15 Lemmas:53.35 UAS:63.31 LAS:51.61 CLAS:43.47 MLAS:28.08 BLEX:24.34
arabic-padt-ud-2.10-220711 raw_text Tokens:99.98 Sentences:82.09 Words:94.58 UPOS:91.72 XPOS:89.01 UFeats:89.14 AllTags:88.69 Lemmas:90.41 UAS:78.63 LAS:74.54 CLAS:71.29 MLAS:65.84 BLEX:67.88
arabic-padt-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.02 XPOS:94.38 UFeats:94.53 AllTags:94.08 Lemmas:95.31 UAS:88.11 LAS:83.49 CLAS:80.38 MLAS:74.57 BLEX:76.13
armenian-armtdp-ud-2.10-220711 raw_text Tokens:99.86 Sentences:95.70 Words:99.28 UPOS:96.07 XPOS:99.28 UFeats:91.39 AllTags:90.28 Lemmas:95.04 UAS:86.84 LAS:82.22 CLAS:78.45 MLAS:69.53 BLEX:74.39
armenian-armtdp-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:96.63 XPOS:100.00 UFeats:92.03 AllTags:90.77 Lemmas:95.70 UAS:88.50 LAS:83.81 CLAS:79.54 MLAS:70.18 BLEX:75.42
armenian-bsut-ud-2.10-220711 raw_text Tokens:99.94 Sentences:98.73 Words:99.79 UPOS:97.31 XPOS:99.79 UFeats:92.01 AllTags:91.24 Lemmas:96.62 UAS:90.02 LAS:85.75 CLAS:82.13 MLAS:71.20 BLEX:78.86
armenian-bsut-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:97.53 XPOS:100.00 UFeats:92.24 AllTags:91.48 Lemmas:96.82 UAS:90.56 LAS:86.29 CLAS:82.62 MLAS:71.73 BLEX:79.32
basque-bdt-ud-2.10-220711 raw_text Tokens:99.94 Sentences:99.83 Words:99.94 UPOS:96.25 XPOS:99.94 UFeats:92.69 AllTags:90.69 Lemmas:96.36 UAS:87.40 LAS:84.28 CLAS:83.16 MLAS:73.94 BLEX:79.81
basque-bdt-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:96.30 XPOS:100.00 UFeats:92.73 AllTags:90.72 Lemmas:96.39 UAS:87.48 LAS:84.36 CLAS:83.23 MLAS:73.99 BLEX:79.86
belarusian-hse-ud-2.10-220711 raw_text Tokens:99.47 Sentences:83.97 Words:99.47 UPOS:98.30 XPOS:96.26 UFeats:94.38 AllTags:92.37 Lemmas:93.35 UAS:86.84 LAS:84.85 CLAS:82.19 MLAS:76.00 BLEX:76.01
belarusian-hse-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:98.81 XPOS:96.74 UFeats:94.94 AllTags:92.87 Lemmas:93.86 UAS:89.55 LAS:87.38 CLAS:84.53 MLAS:78.23 BLEX:78.11
bulgarian-btb-ud-2.10-220711 raw_text Tokens:99.91 Sentences:94.17 Words:99.91 UPOS:99.19 XPOS:97.20 UFeats:97.97 AllTags:96.85 Lemmas:97.99 UAS:94.41 LAS:91.67 CLAS:88.89 MLAS:85.89 BLEX:86.31
bulgarian-btb-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:99.29 XPOS:97.30 UFeats:98.07 AllTags:96.96 Lemmas:98.09 UAS:95.24 LAS:92.44 CLAS:89.62 MLAS:86.52 BLEX:87.03
catalan-ancora-ud-2.10-220711 raw_text Tokens:99.97 Sentences:99.08 Words:99.95 UPOS:99.07 XPOS:97.21 UFeats:98.70 AllTags:96.96 Lemmas:99.40 UAS:94.86 LAS:93.14 CLAS:89.56 MLAS:87.45 BLEX:88.92
catalan-ancora-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:99.14 XPOS:97.32 UFeats:98.78 AllTags:97.07 Lemmas:99.46 UAS:95.02 LAS:93.30 CLAS:89.77 MLAS:87.69 BLEX:89.13
chinese-gsdsimp-ud-2.10-220711 raw_text Tokens:90.29 Sentences:99.10 Words:90.29 UPOS:87.21 XPOS:87.16 UFeats:89.74 AllTags:86.42 Lemmas:90.29 UAS:73.11 LAS:70.62 CLAS:67.09 MLAS:63.58 BLEX:67.09
chinese-gsdsimp-ud-2.10-220711 gold_tok Tokens:100.00 Sentences:100.00 Words:100.00 UPOS:96.14 XPOS:96.04 UFeats:99.45 AllTags:95.30 Lemmas:99.99 UAS:87.28 LAS:84.07 CLAS:82.65 MLAS:78.56 BLEX:82.64
