af_afribooms UD_Afrikaans-AfriBooms
grc_proiel UD_Ancient_Greek-PROIEL
grc_perseus UD_Ancient_Greek-Perseus
ar_padt UD_Arabic-PADT
hy_armtdp UD_Armenian-ArmTDP
eu_bdt UD_Basque-BDT
be_hse UD_Belarusian-HSE
bg_btb UD_Bulgarian-BTB
ca_ancora UD_Catalan-AnCora
zh_gsd UD_Chinese-GSD
lzh_kyoto UD_Classical_Chinese-Kyoto
cop_scriptorium UD_Coptic-Scriptorium
hr_set UD_Croatian-SET
cs_cac UD_Czech-CAC
cs_cltt UD_Czech-CLTT
cs_fictree UD_Czech-FicTree
cs_pdt UD_Czech-PDT
da_ddt UD_Danish-DDT
nl_alpino UD_Dutch-Alpino
nl_lassysmall UD_Dutch-LassySmall
en_ewt UD_English-EWT
en_gum UD_English-GUM
en_lines UD_English-LinES
en_partut UD_English-ParTUT
et_edt UD_Estonian-EDT
et_ewt UD_Estonian-EWT
fi_ftb UD_Finnish-FTB
fi_tdt UD_Finnish-TDT
fr_gsd UD_French-GSD
fr_partut UD_French-ParTUT
fr_sequoia UD_French-Sequoia
fr_spoken UD_French-Spoken
gl_ctg UD_Galician-CTG
gl_treegal UD_Galician-TreeGal
de_gsd UD_German-GSD
got_proiel UD_Gothic-PROIEL
el_gdt UD_Greek-GDT
he_htb UD_Hebrew-HTB
hi_hdtb UD_Hindi-HDTB
hu_szeged UD_Hungarian-Szeged
id_gsd UD_Indonesian-GSD
ga_idt UD_Irish-IDT
it_isdt UD_Italian-ISDT
it_partut UD_Italian-ParTUT
it_postwita UD_Italian-PoSTWITA
it_vit UD_Italian-VIT
ja_gsd UD_Japanese-GSD
ko_gsd UD_Korean-GSD
ko_kaist UD_Korean-Kaist
la_ittb UD_Latin-ITTB
la_proiel UD_Latin-PROIEL
la_perseus UD_Latin-Perseus
lv_lvtb UD_Latvian-LVTB
lt_alksnis UD_Lithuanian-ALKSNIS
lt_hse UD_Lithuanian-HSE
mt_mudt UD_Maltese-MUDT
mr_ufal UD_Marathi-UFAL
sme_giella UD_North_Sami-Giella
no_bokmaal UD_Norwegian-Bokmaal
no_nynorsk UD_Norwegian-Nynorsk
no_nynorsklia UD_Norwegian-NynorskLIA
cu_proiel UD_Old_Church_Slavonic-PROIEL
fro_srcmf UD_Old_French-SRCMF
orv_torot UD_Old_Russian-TOROT
fa_seraji UD_Persian-Seraji
pl_lfg UD_Polish-LFG
pl_pdb UD_Polish-PDB
pt_bosque UD_Portuguese-Bosque
pt_gsd UD_Portuguese-GSD
ro_nonstandard UD_Romanian-Nonstandard
ro_rrt UD_Romanian-RRT
ru_gsd UD_Russian-GSD
ru_syntagrus UD_Russian-SynTagRus
ru_taiga UD_Russian-Taiga
sr_set UD_Serbian-SET
sk_snk UD_Slovak-SNK
sl_ssj UD_Slovenian-SSJ
sl_sst UD_Slovenian-SST
es_ancora UD_Spanish-AnCora
es_gsd UD_Spanish-GSD
sv_lines UD_Swedish-LinES
sv_talbanken UD_Swedish-Talbanken
ta_ttb UD_Tamil-TTB
te_mtg UD_Telugu-MTG
tr_imst UD_Turkish-IMST
uk_iu UD_Ukrainian-IU
ur_udtb UD_Urdu-UDTB
ug_udt UD_Uyghur-UDT
vi_vtb UD_Vietnamese-VTB
wo_wtb UD_Wolof-WTB
